filename, language, Vue, TypeScript, CSS, JSON, JavaScript, XML, comment, blank, total
e:\resume-ldz\src\App.vue, Vue, 46, 0, 0, 0, 0, 0, 0, 4, 50
e:\resume-ldz\src\assets\demo.css, CSS, 0, 0, 435, 0, 0, 0, 19, 86, 540
e:\resume-ldz\src\assets\iconfont.css, CSS, 0, 0, 48, 0, 0, 0, 0, 14, 62
e:\resume-ldz\src\assets\iconfont.js, JavaScript, 0, 0, 0, 0, 1, 0, 0, 0, 1
e:\resume-ldz\src\assets\iconfont.json, JSON, 0, 0, 0, 86, 0, 0, 0, 1, 87
e:\resume-ldz\src\assets\iconfont.svg, XML, 0, 0, 0, 0, 0, 30, 3, 27, 60
e:\resume-ldz\src\common\experience-detail.ts, TypeScript, 0, 8, 0, 0, 0, 0, 0, 1, 9
e:\resume-ldz\src\components\Education.vue, Vue, 125, 0, 0, 0, 0, 0, 1, 3, 129
e:\resume-ldz\src\components\Experience.vue, Vue, 131, 0, 0, 0, 0, 0, 7, 1, 139
e:\resume-ldz\src\components\HeadInfo.vue, Vue, 126, 0, 0, 0, 0, 0, 0, 4, 130
e:\resume-ldz\src\components\division.vue, Vue, 55, 0, 0, 0, 0, 0, 0, 7, 62
e:\resume-ldz\src\components\experience-item.vue, Vue, 75, 0, 0, 0, 0, 0, 0, 2, 77
e:\resume-ldz\src\main.ts, TypeScript, 0, 6, 0, 0, 0, 0, 0, 3, 9
e:\resume-ldz\src\shims-tsx.d.ts, TypeScript, 0, 10, 0, 0, 0, 0, 2, 2, 14
e:\resume-ldz\src\shims-vue.d.ts, TypeScript, 0, 4, 0, 0, 0, 0, 0, 1, 5
Total, -, 558, 28, 483, 86, 1, 30, 32, 156, 1374
